Rang sur 314,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre
168,Laval,180,172,6,82,268,34
258,Le Blanc,143,188,37,NA,50,NA
3,Le Havre,19,115,2,39,6,58
101,Le Mans,175,241,5,117,11,32
161,Le Puy-en-Velay,70,162,8,107,184,98
171,Le Vigan,108,96,5,149,191,NA
193,Lens,22,46,4,56,247,104
209,Les Andelys,171,222,313,114,8,47
199,Les Sables-d'Olonne,14,145,80,150,126,207
241,Lesparre-Médoc,176,74,22,107,309,106
107,Libourne,NA,203,5,265,8,117
80,Lille,131,155,5,38,66,24
164,Limoges,120,57,6,134,292,106
98,Limoux,26,83,6,NA,117,NA
148,Lisieux,183,58,8,24,225,110
220,Loches,189,230,28,24,134,123
115,Lodéve,99,77,7,2,38,97
178,Lons-le-Saunier,103,118,8,78,269,184
28,Lorient,22,117,2,168,78,45
301,Louhans,172,NA,29,53,447,NA
151,Lunéville,26,97,86,59,237,187
215,Lure,148,278,8,134,92,78
75,Lyon,59,144,5,72,26,36
85,Macon,41,149,8,106,108,116
294,Mamers,126,NA,8,NA,222,NA
10,Mantes-la-Jolie,17,105,3,97,142,6
134,Marmande,149,NA,4,26,106,NA
31,Marseille,118,135,3,63,115,39
261,Mauriac,110,78,26,NA,239,NA
287,Mayenne,166,175,20,141,213,NA
20,Meaux,19,140,2,26,30,156
92,Melun,16,173,10,90,95,9
228,Mende,101,229,7,156,198,124
35,Metz,14,186,2,73,184,44
27,Millau,106,75,4,109,155,13
296,Mirande,70,NA,3,NA,NA,NA
78,Molsheim,13,93,6,89,240,119
28,Mont-de-Marsan,105,77,2,60,89,2
124,Montargis,103,139,3,21,252,74
37,Montauban,115,82,6,146,5,36
140,Montbard,102,28,5,302,NA,53
272,Montbéliard,89,201,6,125,387,97
204,Montbrison,139,165,57,3,81,187
311,Montdidier,148,125,20,NA,240,NA
181,Montlucon,26,174,84,121,179,79
267,Montmorillon,152,24,21,NA,NA,119
2,Montpellier,7,14,2,52,69,74
245,Montreuil,142,128,4,97,301,85
252,Morlaix,129,223,19,164,316,24
308,Mortagne-au-Perche,165,NA,19,NA,158,59
280,Moulins,113,345,93,116,189,NA
25,Mulhouse,76,142,2,99,13,63
180,Muret,76,182,18,128,133,48
16,Nancy,34,88,2,25,99,148
78,Nantes,48,127,13,19,281,33
253,Nantua,155,NA,111,129,44,2
87,Narbonne,38,108,79,64,144,88
300,Nerac,154,NA,14,NA,145,NA
103,Neufchateau,51,82,22,80,124,NA
184,Nevers,150,233,2,122,206,89
30,Nice,61,106,231,60,1,6
152,Nimes,30,178,5,336,132,82
60,Niort,21,151,2,104,154,82
185,Nogent-le-Rotrou,103,207,4,NA,83,NA
305,Nogent-sur-Seine,114,NA,76,NA,134,102
49,Nontron,23,46,5,63,174,NA
310,Nyons,237,111,14,108,116,130
132,Oloron-Sainte-Marie,39,NA,7,65,119,NA
257,Orléans,38,170,9,132,77,100
58,Palaiseau,36,31,8,73,1,NA
289,Pamiers,200,NA,106,103,225,67
22,Paris,85,30,61,56,46,4
306,Parthenay,164,NA,15,106,NA,NA
15,Pau,25,63,5,39,215,41
19,Périgueux,16,94,8,19,105,93
212,Péronne,143,13,8,101,351,24
65,Perpignan,35,165,18,45,90,90
313,Pithiviers,155,NA,138,NA,301,NA
91,Poitiers,71,49,5,107,202,67
219,Pontarlier,88,235,8,100,250,154
195,Pontivy,199,169,4,116,100,169
158,Pontoise,18,59,8,52,22,NA
293,Prades,277,NA,11,83,246,NA
240,Privas,66,157,10,NA,216,15
144,Provins,217,95,1,71,235,112
101,Quimper,13,78,55,90,90,104
55,Rambouillet,26,83,8,147,166,2
266,Redon,89,NA,16,114,230,NA
20,Reims,8,49,9,64,129,67
23,Rennes,54,200,4,75,20,37
222,Rethel,2,NA,6,NA,180,NA
74,Riom,13,100,19,143,133,42
63,Roanne,74,96,5,141,207,24
249,Rochechouart,120,183,11,144,137,NA
57,Rochefort,80,31,10,99,17,179
56,Rodez,123,49,11,92,156,6
223,Romorantin-Lanthenay,165,142,10,155,98,NA
125,Rouen,NA,201,164,49,103,57
97,Saint-Amand-Montrond,154,39,4,53,213,NA
36,Saint-Brieuc,71,100,8,79,76,76
278,Saint-Claude,109,NA,40,NA,96,NA
39,Saint-Dié-des-Vosges,85,87,2,56,305,48
139,Saint-Dizier,145,104,12,40,217,90
24,Saint-Etienne,58,161,5,51,146,14
203,Saint-Flour,48,NA,8,78,NA,94
239,Saint-Gaudens,58,NA,11,158,138,NA
103,Saint-Germain-en-Laye,5,101,2,49,84,14
255,Saint-Girons,170,83,97,NA,107,NA
299,Saint-Jean-d'Angély,175,NA,17,NA,233,37
194,Saint-Jean-de-Maurienne,84,NA,11,140,169,22
306,Saint-Julien-en-Genevois,136,200,7,129,91,246
128,Saint-Lô,122,76,6,99,169,NA
72,Saint-Malo,35,204,3,107,248,19
246,Saint-Nazaire,70,136,6,185,200,74
187,Saint-Omer,103,245,7,95,226,69
113,Saint-Quentin,45,116,112,78,143,87
210,Sainte-Menehould,117,67,10,232,188,NA
200,Saintes,53,224,17,139,207,54
189,Sarcelles,17,120,6,63,92,6
231,Sarlat-la-Canéda,153,259,9,71,207,145
111,Sarrebourg,44,110,7,71,140,97
135,Sarreguemines,107,228,3,106,210,77
271,Sarténe,119,187,12,163,107,150
120,Saumur,44,NA,5,159,99,9
225,Saverne,141,233,NA,125,161,98
266,Sedan,NA,NA,6,122,NA,134
288,Segré-en-Anjou Bleu,111,277,15,NA,190,NA
77,Sélestat,39,161,4,91,209,21
269,Senlis,62,168,8,118,101,32
268,Sens,147,134,13,141,435,180
117,Soissons,5,305,3,121,281,78
17,Strasbourg,27,105,33,29,14,33
49,Tarbes,10,197,3,150,157,29
84,Thann,40,184,5,100,268,21
198,Thiers,92,267,7,52,221,NA
45,Thionville,106,114,6,74,109,29
142,Thonon-les-Bains,136,128,11,80,216,5
80,Torcy,185,38,3,125,126,16
238,Toul,148,118,12,147,252,87
196,Toulon,160,55,3,134,137,26
100,Toulouse,29,130,78,108,20,20
116,Tournon-sur-Rhône,179,99,2,127,137,37
14,Tours,14,187,3,50,151,29
167,Troyes,138,92,73,119,186,27
72,Tulle,115,80,8,126,50,71
274,Ussel,204,97,14,NA,207,NA
236,Val de Briey,110,94,5,189,242,100
5,Valence,55,60,5,15,19,74
76,Valenciennes,42,211,7,5,79,109
69,Vannes,49,124,6,179,114,21
128,Vendôme,42,152,13,103,154,97
122,Verdun,161,2,4,82,159,114
96,Versailles,346,105,6,63,88,4
224,Vervins,174,70,110,25,230,NA
191,Vesoul,129,197,7,121,145,105
147,Vichy,58,152,84,53,209,60
89,Vienne,127,207,1,101,94,124
125,Vierzon,143,38,12,89,106,NA
113,Villefranche-de-Rouergue,100,43,24,5,183,NA
70,Villefranche-sur-Saone,58,191,3,132,2,77
206,Villeneuve-sur-Lot,95,318,4,176,50,NA
282,Vire Normandie,122,NA,9,194,193,NA
187,Vitry-le-François,54,123,13,203,130,NA
302,Vouziers,98,NA,6,NA,NA,NA
229,Yssingeaux,143,NA,5,142,138,NA
