,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
90010,Belfort,41.0,152.0,8.0,41.0,133.0,43.0,33.0,Territoire de Belfort,310.0,41.0,46954.0,2745.8,23.6,18230.0,283,,1122.3,10.1
87011,Bellac,126.0,,9.0,,143.0,,272.0,Haute-Vienne,706.0,211.0,3652.0,149.5,44.4,18650.0,2428,,922.3,11.9
01034,Belley,127.0,100.0,6.0,31.0,192.0,54.0,122.0,Ain,1311.0,592.0,9122.0,406.9,28.700000000000003,19900.0,902,,1479.0,11.2
24037,Bergerac,80.0,95.0,4.0,96.0,70.0,36.0,13.0,Dordogne,1008.0,3463.0,26823.0,478.1,38.2,18700.0,212,1976.0,788.3,13.1
27056,Bernay,130.0,101.0,14.0,104.0,344.0,21.0,168.0,Eure,620.0,187.0,9951.0,414.1,36.7,19480.0,586,,,
25056,Besançon,114.0,129.0,89.0,51.0,224.0,41.0,153.0,Doubs,1082.0,344.0,116775.0,1795.2,23.2,19570.0,215,1836.4,1187.0,11.0
62119,Béthune,206.0,151.0,5.0,17.0,110.0,207.0,171.0,Pas-de-Calais,2555.0,799.0,25193.0,2663.1,23.4,17730.0,451,,,
34032,Béziers,48.0,197.0,5.0,90.0,180.0,38.0,80.0,Hérault,3308.0,9364.0,77599.0,812.7,28.8,16030.0,204,,595.7,15.1
33058,Blaye,146.0,283.0,2.0,111.0,119.0,261.0,177.0,Gironde,4665.0,5280.0,4821.0,750.9,27.3,18600.0,163,,,
41018,Blois,166.0,141.0,2.0,20.0,244.0,18.0,65.0,Loir-et-Cher,981.0,884.0,45871.0,1224.5,26.0,18500.0,187,1743.6,639.2,11.6
74042,Bonneville,104.0,196.0,11.0,85.0,119.0,13.0,211.0,Haute-Savoie,4887.0,1545.0,12557.0,462.5,17.6,23700.0,851,,,
33063,Bordeaux,134.0,187.0,116.0,30.0,55.0,14.0,182.0,Gironde,4665.0,5280.0,257068.0,5208.0,18.8,23070.0,8,,,
62160,Boulogne-sur-Mer,64.0,152.0,88.0,80.0,78.0,43.0,183.0,Pas-de-Calais,2555.0,799.0,40664.0,4829.5,24.2,16590.0,46,,777.9,10.9
01053,Bourg-en-Bresse,62.0,94.0,40.0,117.0,232.0,8.0,111.0,Ain,1311.0,592.0,41248.0,1728.8,28.3,19180.0,129,1787.2,1153.0,10.7
18033,Bourges,80.0,91.0,16.0,136.0,116.0,46.0,88.0,Cher,678.0,117.0,64668.0,940.8,29.4,20560.0,128,1827.5,747.9,11.7
79049,Bressuire,127.0,23.0,103.0,224.0,,,286.0,Deux-Sèvres,455.0,145.0,19733.0,109.3,27.1,20380.0,1485,,860.8,11.9
29019,Brest,46.0,106.0,14.0,311.0,46.0,23.0,110.0,Finistère,1946.0,4445.0,139602.0,2819.7,22.0,20240.0,6,1529.8,1210.0,11.5
83023,Brignoles,101.0,134.0,9.0,103.0,187.0,187.0,283.0,Var,3676.0,8196.0,17364.0,246.2,26.3,18550.0,979,,,
43040,Brioude,,,,,,,262.0,Haute-Loire,324.0,234.0,6681.0,494.2,38.7,19230.0,1616,,622.5,10.9
19031,Brive-la-Gaillarde,63.0,192.0,17.0,102.0,135.0,119.0,163.0,Corrèze,538.0,522.0,46630.0,959.7,34.0,19980.0,60,,,
14118,Caen,154.0,105.0,11.0,27.0,184.0,55.0,99.0,Calvados,3556.0,2163.0,105512.0,4105.5,22.8,20450.0,6,1691.2,739.9,11.2
46042,Cahors,88.0,192.0,9.0,111.0,165.0,15.0,108.0,Lot,546.0,982.0,19907.0,307.6,34.4,20450.0,203,,,
62193,Calais,65.0,90.0,7.0,58.0,133.0,336.0,65.0,Pas-de-Calais,2555.0,799.0,72929.0,2177.0,21.8,16710.0,41,,722.6,10.9
