insee_code,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank
06069,Grasse,56,125,106,2,6,6,80
38185,Grenoble,136,124,7,50,169,98,201
23096,Guéret,98,NA,5,27,276,82,196
22070,Guingamp,137,221,6,38,140,34,164
67180,Haguenau,19,112,9,8,8,49,40
63178,Issoire,212,54,4,138,249,75,160
36088,Issoudun,129,NA,63,NA,152,NA,304
13047,Istres,19,176,5,5,20,37,49
17197,Jonzac,57,NA,3,NA,211,NA,279
36046,La Châtre,192,175,23,NA,358,NA,312
72154,La Flèche,163,298,19,69,377,NA,291
85191,La Roche-sur-Yon,104,143,16,126,71,10,86
17300,La Rochelle,112,133,4,92,21,33,26
38509,La Tour-du-Pin,188,210,24,151,7,22,234
33227,Langon,118,110,19,125,105,100,205
52269,Langres,155,91,13,33,108,NA,120
22113,Lannion,106,77,6,47,227,NA,105
02408,Laon,33,110,5,23,138,2,8
07132,Largentière,154,25,89,35,95,127,130
53130,Laval,180,172,6,82,268,34,168
36018,Le Blanc,143,188,37,NA,50,NA,258
76351,Le Havre,19,115,2,39,6,58,3
72181,Le Mans,175,241,5,117,11,32,101
43157,Le Puy-en-Velay,70,162,8,107,184,98,161
30350,Le Vigan,108,96,5,149,191,NA,171
62498,Lens,22,46,4,56,247,104,193
27016,Les Andelys,171,222,313,114,8,47,209
85194,Les Sables-d'Olonne,14,145,80,150,126,207,199
33240,Lesparre-Médoc,176,74,22,107,309,106,241
33243,Libourne,NA,203,5,265,8,117,107
59350,Lille,131,155,5,38,66,24,80
87085,Limoges,120,57,6,134,292,106,164
11206,Limoux,26,83,6,NA,117,NA,98
14366,Lisieux,183,58,8,24,225,110,148
37132,Loches,189,230,28,24,134,123,220
34142,Lodève,99,77,7,2,38,97,115
39300,Lons-le-Saunier,103,118,8,78,269,184,178
56121,Lorient,22,117,2,168,78,45,28
71263,Louhans,172,NA,29,53,447,NA,301
54329,Lunéville,26,97,86,59,237,187,151
70310,Lure,148,278,8,134,92,78,215
69123,Lyon,59,144,5,72,26,36,75
71270,Mâcon,41,149,8,106,108,116,85
72180,Mamers,126,NA,8,NA,222,NA,294
78361,Mantes-la-Jolie,17,105,3,97,142,6,10
47157,Marmande,149,NA,4,26,106,NA,134
13055,Marseille,118,135,3,63,115,39,31
15120,Mauriac,110,78,26,NA,239,NA,261
53147,Mayenne,166,175,20,141,213,NA,287
77284,Meaux,19,140,2,26,30,156,20
77288,Melun,16,173,10,90,95,9,92
48095,Mende,101,229,7,156,198,124,228
57463,Metz,14,186,2,73,184,44,35
12145,Millau,106,75,4,109,155,13,27
32256,Mirande,70,NA,3,NA,NA,NA,296
67300,Molsheim,13,93,6,89,240,119,78
40192,Mont-de-Marsan,105,77,2,60,89,2,28
45208,Montargis,103,139,3,21,252,74,124
82121,Montauban,115,82,6,146,5,36,37
21425,Montbard,102,28,5,302,NA,53,140
25388,Montbéliard,89,201,6,125,387,97,272
42147,Montbrison,139,165,57,3,81,187,204
80561,Montdidier,148,125,20,NA,240,NA,311
03185,Montluçon,26,174,84,121,179,79,181
86165,Montmorillon,152,24,21,NA,NA,119,267
34172,Montpellier,7,14,2,52,69,74,2
62588,Montreuil,142,128,4,97,301,85,245
29151,Morlaix,129,223,19,164,316,24,252
61293,Mortagne-au-Perche,165,NA,19,NA,158,59,308
03190,Moulins,113,345,93,116,189,NA,280
68224,Mulhouse,76,142,2,99,13,63,25
31395,Muret,76,182,18,128,133,48,180
54395,Nancy,34,88,2,25,99,148,16
44109,Nantes,48,127,13,19,281,33,78
01269,Nantua,155,NA,111,129,44,2,253
11262,Narbonne,38,108,79,64,144,88,87
47195,Nérac,154,NA,14,NA,145,NA,300
88321,Neufchâteau,51,82,22,80,124,NA,103
58194,Nevers,150,233,2,122,206,89,184
06088,Nice,61,106,231,60,1,6,30
30189,Nîmes,30,178,5,336,132,82,152
79191,Niort,21,151,2,104,154,82,60
28280,Nogent-le-Rotrou,103,207,4,NA,83,NA,185
10268,Nogent-sur-Seine,114,NA,76,NA,134,102,305
24311,Nontron,23,46,5,63,174,NA,49
26220,Nyons,237,111,14,108,116,130,310
64422,Oloron-Sainte-Marie,39,NA,7,65,119,NA,132
45234,Orléans,38,170,9,132,77,100,257
91477,Palaiseau,36,31,8,73,1,NA,58
09225,Pamiers,200,NA,106,103,225,67,289
75056,Paris,85,30,61,56,46,4,22
79202,Parthenay,164,NA,15,106,NA,NA,306
64445,Pau,25,63,5,39,215,41,15
24322,Périgueux,16,94,8,19,105,93,19
80620,Péronne,143,13,8,101,351,24,212
66136,Perpignan,35,165,18,45,90,90,65
45252,Pithiviers,155,NA,138,NA,301,NA,313
86194,Poitiers,71,49,5,107,202,67,91
25462,Pontarlier,88,235,8,100,250,154,219
56178,Pontivy,199,169,4,116,100,169,195
95500,Pontoise,18,59,8,52,22,NA,158
66149,Prades,277,NA,11,83,246,NA,293
07186,Privas,66,157,10,NA,216,15,240
77379,Provins,217,95,1,71,235,112,144
29232,Quimper,13,78,55,90,90,104,101
78517,Rambouillet,26,83,8,147,166,2,55
35236,Redon,89,NA,16,114,230,NA,266
51454,Reims,8,49,9,64,129,67,20
35238,Rennes,54,200,4,75,20,37,23
08362,Rethel,2,NA,6,NA,180,NA,222
63300,Riom,13,100,19,143,133,42,74
42187,Roanne,74,96,5,141,207,24,63
87126,Rochechouart,120,183,11,144,137,NA,249
17299,Rochefort,80,31,10,99,17,179,57
12202,Rodez,123,49,11,92,156,6,56
41194,Romorantin-Lanthenay,165,142,10,155,98,NA,223
76540,Rouen,NA,201,164,49,103,57,125
18197,Saint-Amand-Montrond,154,39,4,53,213,NA,97
22278,Saint-Brieuc,71,100,8,79,76,76,36
39478,Saint-Claude,109,NA,40,NA,96,NA,278
88413,Saint-Dié-des-Vosges,85,87,2,56,305,48,39
52448,Saint-Dizier,145,104,12,40,217,90,139
42218,Saint-Étienne,58,161,5,51,146,14,24
15187,Saint-Flour,48,NA,8,78,NA,94,203
31483,Saint-Gaudens,58,NA,11,158,138,NA,239
78551,Saint-Germain-en-Laye,5,101,2,49,84,14,103
09261,Saint-Girons,170,83,97,NA,107,NA,255
17347,Saint-Jean-d'Angély,175,NA,17,NA,233,37,299
73248,Saint-Jean-de-Maurienne,84,NA,11,140,169,22,194
74243,Saint-Julien-en-Genevois,136,200,7,129,91,246,306
50502,Saint-Lô,122,76,6,99,169,NA,128
35288,Saint-Malo,35,204,3,107,248,19,72
44184,Saint-Nazaire,70,136,6,185,200,74,246
62765,Saint-Omer,103,245,7,95,226,69,187
02691,Saint-Quentin,45,116,112,78,143,87,113
51507,Sainte-Menehould,117,67,10,232,188,NA,210
17415,Saintes,53,224,17,139,207,54,200
95585,Sarcelles,17,120,6,63,92,6,189
24520,Sarlat-la-Canéda,153,259,9,71,207,145,231
57630,Sarrebourg,44,110,7,71,140,97,111
