insee_code,population,densite,rate_60_and_over,median_income
02408,24710.0,588.3,25.2,17140.0
07132,1598.0,221.3,35.8,17740.0
53130,49573.0,1448.7,27.0,20340.0
36018,6319.0,109.7,38.5,19130.0
76351,169733.0,3615.2,25.6,19240.0
72181,143252.0,2712.6,27.3,20210.0
43157,19061.0,1135.3,29.5,18970.0
30350,3785.0,219.5,38.2,16630.0
62498,31606.0,2701.4,24.9,15990.0
27016,8092.0,199.2,26.8,19480.0
85194,44355.0,517.8,47.9,22800.0
33240,5804.0,157.0,32.3,18500.0
33243,24511.0,1188.1,28.1,19480.0
59350,233098.0,6692.4,14.3,19320.0
87085,131479.0,1685.0,27.1,19460.0
11206,10112.0,312.0,36.8,18950.0
14366,20171.0,1543.3,30.7,17980.0
37132,6232.0,230.3,41.5,19810.0
34142,7459.0,321.9,33.9,16560.0
39300,17320.0,2255.2,32.8,19650.0
56121,57084.0,3265.7,27.9,19430.0
71263,6399.0,283.4,41.1,19740.0
54329,18027.0,1103.2,28.5,18150.0
70310,8131.0,334.5,29.0,18430.0
69123,518635.0,10834.2,18.9,23890.0
71270,33810.0,1250.4,27.200000000000003,18330.0
72180,5231.0,1035.8,38.5,18360.0
78361,44227.0,4715.0,19.5,16410.0
47157,17534.0,389.1,34.599999999999994,18800.0
13055,868277.0,3608.5,24.5,19010.0
15120,3550.0,128.6,41.8,19930.0
53147,12874.0,647.6,34.3,21070.0
77284,55416.0,3699.3,18.0,18930.0
77288,39947.0,4968.5,15.6,18080.0
48095,12227.0,334.4,24.2,21760.0
57463,116581.0,2779.7,22.4,19750.0
12145,22002.0,130.8,33.599999999999994,19660.0
32256,3455.0,147.5,40.1,19080.0
67300,9334.0,860.3,28.7,22240.0
40192,29683.0,804.9,28.0,20820.0
45208,14789.0,3315.9,28.0,15890.0
82121,60952.0,450.9,27.7,20200.0
21425,5004.0,107.9,38.4,18920.0
25388,25809.0,1719.5,25.5,18340.0
42147,15656.0,958.7,30.0,20830.0
80561,6174.0,490.8,30.5,18040.0
03185,34938.0,1690.3,33.8,18650.0
86165,5911.0,103.7,43.1,20320.0
34172,290053.0,5099.4,18.8,18480.0
62588,1952.0,684.9,37.6,19830.0
29151,14729.0,593.4,30.6,19660.0
61293,3801.0,442.0,37.8,19330.0
03190,19563.0,2272.1,31.700000000000003,18780.0
68224,108942.0,4911.7,21.1,16100.0
31395,24813.0,429.0,24.9,21280.0
54395,104885.0,6987.7,18.8,21000.0
44109,314138.0,4818.8,18.6,22600.0
01269,3410.0,266.6,24.4,17490.0
11262,55375.0,320.2,31.3,18620.0
47195,6849.0,109.3,37.0,20230.0
88321,6642.0,279.0,32.8,19140.0
58194,33279.0,1920.3,32.3,18930.0
06088,341032.0,4741.8,29.7,20320.0
30189,149633.0,924.5,26.6,17770.0
79191,59059.0,866.0,27.5,21670.0
28280,9610.0,409.1,37.8,19980.0
10268,5987.0,298.2,24.9,19370.0
24311,3068.0,124.4,41.6,19810.0
26220,6782.0,289.2,47.0,19760.0
64422,10629.0,155.6,35.3,20190.0
45234,116238.0,4229.9,20.2,20180.0
91477,35590.0,3092.1,19.2,27190.0
09225,15603.0,340.3,27.700000000000003,18320.0
75056,2175601.0,20641.4,22.1,28270.0
79202,10235.0,899.4,35.5,19110.0
64445,76275.0,2420.7,28.1,19930.0
24322,30060.0,3061.1,29.700000000000003,19720.0
80620,7595.0,536.4,31.6,17560.0
66136,119188.0,1751.0,28.0,16630.0
45252,8935.0,1287.5,25.8,17330.0
86194,88665.0,2105.6,20.1,19000.0
25462,17393.0,420.6,25.1,23250.0
56178,14889.0,599.2,28.6,20510.0
95500,31422.0,4394.7,17.6,20840.0
66149,6063.0,557.8,38.7,18090.0
07186,8363.0,688.9,32.8,19940.0
77379,12000.0,815.2,26.0,18070.0
29232,63166.0,748.0,27.8,21220.0
78517,26933.0,765.4,25.9,26660.0
35236,9151.0,606.4,32.7,20810.0
51454,182211.0,3885.1,20.9,19060.0
35238,217728.0,4320.9,19.0,21410.0
08362,7522.0,404.8,30.0,18260.0
63300,19011.0,594.7,26.4,22040.0
42187,34004.0,2109.4,32.3,18100.0
87126,3768.0,69.9,40.3,20780.0
17299,23583.0,1074.4,32.7,19110.0
12202,24319.0,2175.2,27.700000000000003,20850.0
41194,17871.0,394.4,33.6,19820.0
76540,111360.0,5208.6,18.8,20340.0
18197,9531.0,472.5,42.6,19030.0
22278,44170.0,2018.7,28.4,19690.0
39478,9103.0,129.7,33.1,18900.0
88413,19724.0,427.4,31.0,17630.0
52448,23382.0,490.3,29.1,17480.0
42218,173089.0,2164.4,25.8,18330.0
15187,6365.0,234.5,33.3,20110.0
31483,11604.0,424.3,36.1,18790.0
78551,44750.0,861.6,22.7,31630.0
09261,6408.0,335.0,35.3,19340.0
17347,6886.0,366.7,41.8,18670.0
73248,7683.0,667.5,35.2,21140.0
74243,15509.0,1464.5,16.299999999999997,31730.0
50502,19024.0,820.4,29.6,19800.0
35288,46478.0,1270.6,39.2,21930.0
44184,70619.0,1509.3,29.200000000000003,20760.0
62765,14726.0,897.9,20.6,16730.0
02691,53856.0,2387.2,27.5,17350.0
51507,4150.0,72.7,35.4,19410.0
17415,25148.0,552.1,36.400000000000006,20400.0
95585,58811.0,6959.9,16.4,15650.0
24520,8793.0,186.6,38.8,19990.0
57630,12331.0,751.9,26.700000000000003,18730.0
57631,20820.0,701.7,28.200000000000003,19060.0
2A272,3240.0,16.2,32.400000000000006,19760.0
49328,26599.0,401.5,32.6,19970.0
67437,11289.0,434.0,28.200000000000003,20540.0
08409,16193.0,994.7,29.8,16350.0
49331,17474.0,72.3,26.6,20320.0
67462,19360.0,436.0,25.2,20980.0
60612,14891.0,619.2,25.0,25800.0
89387,26586.0,1214.0,29.1,17700.0
02722,28522.0,2315.1,28.1,17430.0
67482,284677.0,3637.6,19.0,18790.0
65440,42426.0,2767.5,29.6,17880.0
68334,7721.0,617.2,27.5,20770.0
63430,11778.0,264.7,32.400000000000006,18310.0
57672,40477.0,811.5,25.6,23110.0
74281,35241.0,2174.0,27.4,23260.0
77468,22361.0,3726.8,16.4,20360.0
54528,15470.0,505.7,25.1,18230.0
83137,176198.0,4112.9,28.9,19750.0
31555,486828.0,4115.2,16.9,21190.0
07324,10598.0,504.4,29.7,20880.0
37261,136463.0,3936.1,23.5,19910.0
10387,61996.0,4696.7,23.3,17450.0
19272,14705.0,601.7,31.4,20490.0
19275,9555.0,189.7,34.0,19970.0
54099,8148.0,209.4,27.0,21880.0
26362,64726.0,1764.1,25.8,19450.0
59606,43405.0,3140.7,22.1,18970.0
56260,53438.0,1654.4,32.3,22190.0
41269,16133.0,675.3,35.5,19700.0
55545,17161.0,553.0,29.200000000000003,19180.0
78646,85205.0,3254.6,22.9,32140.0
02789,2579.0,249.2,26.4,17790.0
70550,14973.0,1650.8,29.4,18390.0
03310,24854.0,4248.5,42.0,19130.0
38544,29583.0,1306.1,25.3,20270.0
18279,25725.0,345.3,34.6,18190.0
12300,11781.0,256.9,39.5,19690.0
69264,36288.0,3827.8,23.5,18340.0
47323,21915.0,269.5,36.7,18420.0
14762,16885.0,121.9,34.7,20430.0
51649,11743.0,1820.6,30.6,16650.0
08490,4339.0,102.1,35.900000000000006,19440.0
43268,7245.0,89.9,28.8,21340.0
