insee_code,name,rate_60_and_over,median_income,solar_exposure,precipitation,temperature
05061,Gap,29.9,21160.0,,,
01173,Gex,14.2,32900.0,,1042.0,9.2
46127,Gourdon,47.2,19860.0,,,
06069,Grasse,25.8,21850.0,,,
38185,Grenoble,19.7,21050.0,,923.9,13.4
23096,Guéret,32.1,19840.0,,,
22070,Guingamp,26.9,17360.0,,,
67180,Haguenau,24.5,21720.0,,,
63178,Issoire,29.5,20690.0,,,
36088,Issoudun,36.0,19850.0,1840.7,737.1,11.8
13047,Istres,25.200000000000003,21720.0,,,
17197,Jonzac,,19070.0,,,
36046,La Châtre,45.6,19250.0,1840.7,737.1,11.8
72154,La Flèche,31.5,20400.0,1772.0,687.5,
85191,La Roche-sur-Yon,26.8,21050.0,,,
17300,La Rochelle,29.9,20690.0,2105.5,767.0,13.4
38509,La Tour-du-Pin,25.5,18320.0,,,
33227,Langon,33.1,18910.0,,,
52269,Langres,29.6,19510.0,,,
22113,Lannion,29.6,21940.0,,,
02408,Laon,25.2,17140.0,,,
07132,Largentière,35.8,17740.0,,,
53130,Laval,,20340.0,,,
36018,Le Blanc,38.5,19130.0,1840.7,737.1,11.8
76351,Le Havre,25.6,19240.0,,790.3,11.4
72181,Le Mans,27.3,20210.0,1771.8,687.5,12.0
43157,Le Puy-en-Velay,29.5,18970.0,,,
30350,Le Vigan,38.2,16630.0,,,
62498,Lens,24.9,15990.0,,,
27016,Les Andelys,26.8,19480.0,,,
85194,Les Sables-d'Olonne,47.9,22800.0,1756.0,884.3,
33240,Lesparre-Médoc,32.3,18500.0,,984.1,13.3
33243,Libourne,28.1,19480.0,,,
59350,Lille,14.3,19320.0,1617.5,742.5,10.8
87085,Limoges,27.1,19460.0,,,
11206,Limoux,36.8,18950.0,,647.7,13.2
14366,Lisieux,30.7,17980.0,,,
37132,Loches,41.5,19810.0,,,
34142,Lodève,33.9,16560.0,,,
39300,Lons-le-Saunier,32.8,19650.0,1910.3,1189.5,11.3
56121,Lorient,27.9,19430.0,1827.2,950.9,12.0
71263,Louhans,41.1,19740.0,,,
54329,Lunéville,28.5,18150.0,,,
70310,Lure,29.0,18430.0,,,
69123,Lyon,18.9,23890.0,2001.9,831.9,12.5
71270,Mâcon,27.200000000000003,18330.0,1881.9,859.3,11.8
72180,Mamers,38.5,18360.0,,,
78361,Mantes-la-Jolie,19.5,16410.0,,,
47157,Marmande,34.599999999999994,18800.0,,,
13055,Marseille,24.5,19010.0,2857.8,515.4,15.5
15120,Mauriac,41.8,19930.0,,1200.5,10.4
53147,Mayenne,34.3,21070.0,,,
77284,Meaux,18.0,18930.0,,,
77288,Melun,15.6,18080.0,1752.5,676.9,
48095,Mende,24.2,21760.0,,,
57463,Metz,22.4,19750.0,,,
12145,Millau,33.599999999999994,19660.0,2157.6,731.6,10.9
32256,Mirande,40.1,19080.0,,,
67300,Molsheim,28.7,22240.0,,,
40192,Mont-de-Marsan,28.0,20820.0,1908.4,916.9,13.6
45208,Montargis,28.0,15890.0,,,
82121,Montauban,27.7,20200.0,2066.1,711.9,13.6
21425,Montbard,38.4,18920.0,,,
25388,Montbéliard,25.5,18340.0,,1121.2,
42147,Montbrison,30.0,20830.0,,,
80561,Montdidier,30.5,18040.0,,,
03185,Montluçon,33.8,18650.0,,,
86165,Montmorillon,43.1,20320.0,,,
34172,Montpellier,18.8,18480.0,2668.2,629.1,15.1
62588,Montreuil,37.6,19830.0,,,
29151,Morlaix,30.6,19660.0,,,
61293,Mortagne-au-Perche,37.8,19330.0,,,
03190,Moulins,31.700000000000003,18780.0,,,
68224,Mulhouse,21.1,16100.0,,,
31395,Muret,24.9,21280.0,,,
54395,Nancy,18.8,21000.0,,846.4,10.0
44109,Nantes,18.6,22600.0,,,
01269,Nantua,24.4,17490.0,,1527.0,9.3
11262,Narbonne,31.3,18620.0,,652.3,15.1
47195,Nérac,37.0,20230.0,,,
88321,Neufchâteau,32.8,19140.0,,,
58194,Nevers,32.3,18930.0,1774.0,804.1,10.9
06088,Nice,29.7,20320.0,2724.2,733.0,16.0
