,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre,Rang sur 314,Hôtels_de_tourisme_(en_milliers_de_nuitées,Campings (en_milliers_de_nuitées),Département,Superficie,Population,Densité,Classement,precipitation,ensoleillement,temperature,part_60_et_plus_2018,revenu_disp_par_UC_2018
14047,Bayeux,64.0,45.0,10.0,61.0,119.0,122.0,53.0,3 556,2163 ,Calvados,5548,693679,125.03226387887528,383,927.2,,11.2,36.5,19860.0
64102,Bayonne,111.0,156.0,3.0,142.0,2.0,56.0,153.0,2683,2197 ,Pyrénées-Atlantiques,7645,673986,88.16036625245259,2,1482.9,,13.7,26.3,20040.0
21054,Beaune,156.0,74.0,5.0,54.0,167.0,,155.0,2 544,379 ,Côte-d'Or,8763,533213,60.848225493552434,264,675.85,,10.76,30.9,21300.0
60057,Beauvais,14.0,64.0,16.0,56.0,12.0,16.0,7.0,1285,169 ,Oise,5860,823542,140.5361774744027,106,669.4,1669.4,10.7,22.3,18470.0
90010,Belfort,41.0,152.0,8.0,41.0,133.0,43.0,33.0,310,41 ,Territoire de Belfort,609,144089,236.59934318555008,283,1122.3,,10.1,23.6,18230.0
87011,Bellac,126.0,,9.0,,143.0,,272.0,706,211 ,Haute-Vienne,5520,374978,67.93079710144927,2428,,,,44.4,18650.0
01034,Belley,127.0,100.0,6.0,31.0,192.0,54.0,122.0,1311,592 ,Ain,5762,638425,110.79920166608817,902,1479.0,,11.2,28.7,19900.0
24037,Bergerac,80.0,95.0,4.0,96.0,70.0,36.0,13.0,1008,3463 ,Dordogne,9060,414789,45.78245033112583,212,,,,38.2,18700.0
27056,Bernay,130.0,101.0,14.0,104.0,344.0,21.0,168.0,620,187 ,Eure,6040,602825,99.80546357615894,586,,,,36.7,19480.0
25056,Besançon,114.0,129.0,89.0,51.0,224.0,41.0,153.0,1082,344 ,Doubs,5234,538549,102.89434466946884,215,1187.0,1836.4,11.0,23.2,19570.0
62119,Béthune,206.0,151.0,5.0,17.0,110.0,207.0,171.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,451,,,,23.4,17730.0
34032,Béziers,48.0,197.0,5.0,90.0,180.0,38.0,80.0,3308,9364 ,Hérault,6101,1132481,185.62219308310117,204,595.7,,15.1,28.8,16030.0
33058,Blaye,146.0,283.0,2.0,111.0,119.0,261.0,177.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,163,,,,27.3,18600.0
41018,Blois,166.0,141.0,2.0,20.0,244.0,18.0,65.0,981,884 ,Loir-et-Cher,6343,332769,52.46239949550686,187,639.2,1743.6,11.6,26.0,18500.0
74042,Bonneville,104.0,196.0,11.0,85.0,119.0,13.0,211.0,4887,1 545 ,Haute-Savoie,4388,801416,182.63810391978123,851,,,,17.6,23700.0
33063,Bordeaux,134.0,187.0,116.0,30.0,55.0,14.0,182.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,8,,,,18.8,23070.0
62160,Boulogne-sur-Mer,64.0,152.0,88.0,80.0,78.0,43.0,183.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,46,777.9,,10.9,24.2,16590.0
01053,Bourg-en-Bresse,62.0,94.0,40.0,117.0,232.0,8.0,111.0,1311,592 ,Ain,5762,638425,110.79920166608817,129,1153.0,1787.2,10.7,28.3,19180.0
18033,Bourges,80.0,91.0,16.0,136.0,116.0,46.0,88.0,678,117 ,Cher,7235,307110,42.44782308223912,128,747.9,1827.5,11.7,29.4,20560.0
79049,Bressuire,127.0,,23.0,103.0,224.0,,286.0,455,145 ,Deux-Sèvres,5999,374743,62.467577929654944,1485,,,,27.1,20380.0
29019,Brest,46.0,106.0,14.0,311.0,46.0,23.0,110.0,1946,4445 ,Finistère,6733,908249,134.89514332392693,6,1210.0,1529.8,11.5,22.0,20240.0
05023,Briançon,46.0,,5.0,136.0,,,241.0,976,1245 ,Hautes-Alpes,5549,141107,25.429266534510724,408,735.0,,7.7,28.1,20450.0
83023,Brignoles,101.0,134.0,9.0,103.0,187.0,187.0,283.0,3676,8196 ,Var,5973,1055821,176.76561192030806,979,,,,26.3,18550.0
43040,Brioude,155.0,,9.0,26.0,,,262.0,324,234 ,Haute-Loire,4977,227339,45.67791842475387,1616,622.5,,10.9,38.7,19230.0
19031,Brive-la-Gaillarde,53.0,192.0,17.0,102.0,135.0,119.0,163.0,538,522 ,Corrèze,5857,241535,41.238688748506064,60,,,,34.0,19980.0
14118,Caen,154.0,105.0,11.0,27.0,184.0,55.0,99.0,3 556,2163 ,Calvados,5548,693679,125.03226387887528,6,739.9,1691.2,11.2,22.8,20450.0
46042,Cahors,88.0,192.0,9.0,111.0,165.0,15.0,108.0,546,982 ,Lot,5217,173347,33.22733371669542,203,,,,34.4,20450.0
62193,Calais,65.0,90.0,7.0,58.0,133.0,336.0,65.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,41,722.6,,10.9,21.8,16710.0
2B050,Calvi,29.0,,6.0,148.0,163.0,,250.0,1329,1997 ,Haute-Corse,4666,176152,37.7522503214745,379,,,,22.0,18970.0
59122,Cambrai,,268.0,90.0,13.0,211.0,27.0,136.0,3868,317 ,Nord,5743,2603723,453.3733240466655,572,642.0,,9.8,28.1,18400.0
11069,Carcassonne,28.0,159.0,146.0,155.0,328.0,14.0,202.0,1 111,1557 ,Aude,6139,368025,59.94868871151653,88,,,,30.3,18110.0
84031,Carpentras,59.0,188.0,2.0,106.0,17.0,34.0,71.0,2223,1756 ,Vaucluse,3567,559014,156.71825063078217,206,,,,29.4,17430.0
04039,Castellane,49.0,,7.0,136.0,,,297.0,764,1803 ,Alpes-de-Haute-Provence,6925,162565,23.47509025270758,12411,,,,38.7,19900.0
82033,Castelsarrasin,155.0,,5.0,123.0,371.0,,275.0,327,187 ,Tarn-et-Garonne,3718,256897,69.09548144163529,1545,,,,28.9,18450.0
81065,Castres,35.0,205.0,1.0,6.0,223.0,39.0,44.0,492,288 ,Tarn,5758,386448,67.11497047585968,73,739.0,,13.2,32.0,19490.0
66049,Céret,95.0,164.0,13.0,115.0,255.0,,309.0,1660,7043 ,Pyrénées-Orientales,4116,474369,115.25,3538,,,,40.4,20540.0
95127,Cergy,43.0,169.0,4.0,92.0,255.0,16.0,62.0,4080,nd ,Val-d'Oise,1246,1221923,980.6765650080256,82,,,,11.9,19410.0
71076,Chalon-sur-Saône,175.0,148.0,5.0,37.0,332.0,11.0,146.0,1453,553 ,Saône-et-Loire,8575,555023,64.72571428571429,136,759.8,1852.8,10.9,28.4,18520.0
51108,Châlons-en-Champagne,21.0,116.0,3.0,53.0,124.0,70.0,11.0,1666,103 ,Marne,8162,570883,69.9440088213673,181,,,,24.5,19270.0
73065,Chambéry,7.0,12.0,2.0,116.0,13.0,9.0,6.0,3499,806 ,Savoie,6028,429681,71.28085600530856,23,,,,24.1,20620.0
08105,Charleville-Mézières,47.0,141.0,118.0,122.0,152.0,68.0,161.0,285,171 ,Ardennes,5229,275371,52.66226812009945,142,958.4,1515.9,,28.4,17500.0
71106,Charolles,11.0,,52.0,146.0,218.0,10.0,243.0,1453,553 ,Saône-et-Loire,8575,555023,64.72571428571429,5723,,,,38.7,20280.0
28085,Chartres,,132.0,4.0,80.0,78.0,57.0,42.0,719,110 ,Eure-et-Loir,5880,433929,73.79744897959183,334,,,,27.5,21600.0
58062,Château-Chinon,144.0,,89.0,,,,314.0,391,279 ,Nièvre,6817,209161,30.68226492592049,5180,1283.0,,,37.2,17760.0
53062,Château-Gontier-sur-Mayenne,144.0,,10.0,109.0,320.0,,290.0,296,93 ,Mayenne,5175,307688,59.456618357487926,1080,,,,33.4,21110.0
02168,Château-Thierry,72.0,,49.0,94.0,202.0,78.0,227.0,523,544 ,Aisne,7369,536136,72.75559777446058,1158,,,,26.8,18020.0
44036,Châteaubriant,134.0,164.0,10.0,183.0,72.0,,214.0,3307,2722 ,Loire-Atlantique,6881,1380852,200.676064525505,710,,,,34.3,19150.0
28088,Châteaudun,232.0,,3.0,196.0,295.0,,292.0,719,110 ,Eure-et-Loir,5880,433929,73.79744897959183,716,,,,29.8,18640.0
29026,Châteaulin,105.0,,4.0,,113.0,,213.0,1946,4445 ,Finistère,6733,908249,134.89514332392693,4153,,,,28.0,20630.0
36044,Châteauroux,139.0,178.0,14.0,101.0,232.0,,254.0,419,125 ,Indre,6791,223505,32.91194227654248,36,737.1,1840.7,11.8,30.0,19320.0
86066,Châtellerault,78.0,98.0,2.0,102.0,335.0,66.0,150.0,1685,352 ,Vienne,6990,436069,62.38469241773963,326,,,,32.9,19260.0
52121,Chaumont,92.0,152.0,4.0,50.0,378.0,83.0,94.0,301,214 ,Haute-Marne,6211,178084,28.67235549830945,567,,,,28.8,20360.0
50129,Cherbourg-en-Cotentin,92.0,142.0,9.0,245.0,214.0,194.0,237.0,1277,1336 ,Manche,5938,498362,83.92758504546985,7,,,,26.8,21160.0
37072,Chinon,181.0,62.0,11.0,198.0,359.0,16.0,207.0,1885,689 ,Indre-et-Loire,6127,606223,98.94287579565857,1917,,,,36.3,20750.0
49099,Cholet,102.0,147.0,16.0,69.0,144.0,108.0,142.0,1348,711 ,Maine-et-Loire,7107,810934,114.10355987055016,90,,,,28.0,20830.0
58079,Clamecy,100.0,,4.0,,,56.0,295.0,391,279 ,Nièvre,6817,209161,30.68226492592049,2885,725.9,,,38.6,17610.0
60157,Clermont,62.0,,6.0,105.0,169.0,15.0,95.0,1285,169 ,Oise,5860,823542,140.5361774744027,1585,674.0,,10.4,22.4,20590.0
63113,Clermont-Ferrand,9.0,141.0,3.0,121.0,194.0,18.0,90.0,1910,1045 ,Puy-de-Dôme,7970,650700,81.64366373902133,53,578.9,1913.0,11.6,21.5,19460.0
16102,Cognac,132.0,124.0,4.0,126.0,56.0,63.0,59.0,468,152 ,Charente,5956,353288,59.316319677636,642,783.6,2024.9,12.5,29.1,20480.0
68066,Colmar,40.0,190.0,4.0,180.0,72.0,30.0,41.0,2975,759 ,Haut-Rhin,3525,762743,216.3809929078014,72,607.3,1799.0,10.9,25.1,19850.0
55122,Commercy,138.0,98.0,19.0,172.0,185.0,,244.0,240,89 ,Meuse,6211,189055,30.438737723393977,1705,775.1,1664.9,10.0,31.0,17860.0
60159,Compiègne,251.0,221.0,10.0,24.0,103.0,14.0,93.0,1285,169 ,Oise,5860,823542,140.5361774744027,388,662.2,,11.1,24.4,19860.0
32107,Condom,167.0,,6.0,166.0,156.0,,265.0,221,390 ,Gers,6257,190664,30.47211123541633,2865,,,,41.0,18530.0
16106,Confolens,243.0,123.0,96.0,167.0,196.0,,297.0,468,152 ,Charente,5956,353288,59.316319677636,5505,,,,44.5,20200.0
2B096,Corte,292.0,41.0,8.0,154.0,115.0,364.0,191.0,1329,1997 ,Haute-Corse,4666,176152,37.7522503214745,3630,,,,19.8,19560.0
58086,Cosne-Cours-sur-Loire,153.0,230.0,2.0,76.0,46.0,73.0,64.0,391,279 ,Nièvre,6817,209161,30.68226492592049,1499,,,,41.6,19990.0
50147,Coutances,136.0,95.0,4.0,216.0,88.0,,144.0,1277,1336 ,Manche,5938,498362,83.92758504546985,592,1061.2,,11.2,31.5,19210.0
40088,Dax,26.0,129.0,4.0,4.0,6.0,136.0,9.0,1129,6866 ,Landes,9243,405010,43.818024450935845,151,,,,35.6,19310.0
26113,Die,221.0,133.0,6.0,,34.0,,247.0,1292,1731 ,Drôme,6530,508006,77.79571209800919,5488,,,,36.6,20100.0
76217,Dieppe,155.0,114.0,20.0,161.0,215.0,34.0,217.0,2499,655 ,Seine-Maritime,6278,1255755,200.02468939152595,56,798.2,,10.9,34.7,17810.0
04070,Digne-les-Bains,90.0,290.0,5.0,110.0,140.0,82.0,132.0,764,1803 ,Alpes-de-Haute-Provence,6925,162565,23.47509025270758,312,694.9,2775.4,12.9,33.0,20230.0
21231,Dijon,53.0,58.0,7.0,103.0,207.0,9.0,33.0,2 544,379 ,Côte-d'Or,8763,533213,60.848225493552434,25,760.5,1848.8,11.0,22.7,21650.0
22050,Dinan,80.0,122.0,87.0,83.0,99.0,80.0,109.0,1168,2057 ,Côtes-d'Armor,6878,598953,87.0824367548706,133,,,,37.0,21780.0
