,Communes,Classement 
2349,ARLES,44
2350,MONTCORNET,8928
2351,SENECHAS,26004
2352,REPENTIGNY,22693
2353,ARLES,44
2354,LE MONT DIEU,34141
2355,SERVAS,9787
2356,REUX,7628
2357,ARLES,44
2358,MONTHERME,4167
2359,SOUSTELLE,10987
2360,CASTINE EN PLAINE,2359
2361,ARLES,44
2362,MONT ST MARTIN,34408
2363,TAVEL,6860
2364,ROSEL,3118
2365,ARLES,44
2366,NEUFMAISON,23010
2367,THOIRAS,14286
2368,RUBERCY,14506
2369,AUREILLE,19611
2370,NEUVILLE LEZ BEAULIEU,24831
2371,UZES,2813
2372,RYES,6022
2373,BEAURECUEIL,12579
2374,NOUART,33646
2375,VAL D AIGOUAL,24243
2376,ST AUBIN D ARQUENAY,3029
2377,BOULBON,7819
2378,NOUZONVILLE,2162
2379,VAUVERT,370
2380,ST BENOIT D HEBERTOT,14585
2381,CARRY LE ROUET,232
2382,PAUVRES,32365
2383,ANTIGNAC,34280
2384,VALORBIQUET,16748
2385,CHATEAUNEUF LES MARTIGUES,261
2386,POILCOURT SYDNEY,28041
2387,ARBON,28529
2388,VALORBIQUET,16748
2389,LA CIOTAT,125
2390,RAILLICOURT,27539
2391,ARNAUD GUILHEM,18751
2392,VAL DE VIE,22750
2393,CORNILLON CONFOUX,7629
2394,RENWEZ,9410
2395,AURAGNE,11519
2396,ST GERMAIN DU PERT,23014
2397,EYRAGUES,5346
2398,RETHEL,2628
2399,AUSSEING,27592
2400,STE HONORINE DE DUCY,25231
2401,GARDANNE,1553
2402,REVIN,2715
2403,AUSSONNE,1811
2404,ST JEAN DE LIVET,9377
2405,GIGNAC LA NERTHE,2386
2406,RILLY SUR AISNE,23726
2407,AUZAS,16222
2408,ST JULIEN SUR CALONNE,8969
2409,GRAVESON,4613
2410,ROCROI,8362
2411,AUZEVILLE TOLOSANE,1756
2412,ST MANVIEU NORREY,2159
2413,JOUQUES,19227
2414,SAILLY,16920
2415,BAGIRY,30547
2416,ST MARCOUF,26248
2417,LAMBESC,6013
2418,ST AIGNAN,17778
2419,BAGNERES DE LUCHON,11698
2420,STE MARGUERITE D ELLE,16533
2421,MALLEMORT,4961
2422,ST ETIENNE A ARNES,34399
2423,BALESTA,32802
2424,STE MARIE OUTRE L EAU,25009
2425,MARTIGUES,49
2426,ST FERGEUX,33201
2427,BAX,30579
2428,ST MARTIN DES ENTREES,2864
2429,MARTIGUES,49
2430,STE VAUBOURG,24340
2431,BAZIEGE,7428
2432,ST PIERRE EN AUGE,4344
2433,MAS BLANC DES ALPILLES,14370
2434,SAPOGNE SUR MARCHE,32861
2435,BELLESSERRE,28487
2436,SAONNET,12342
2437,MIRAMAS,187
2438,SEMIDE,34331
2439,BENQUE,30366
2440,VAL DE DROME,31702
2441,PELISSANNE,4281
2442,SEUIL,27037
2443,BENQUE DESSOUS ET DESSUS,34282
2444,VAL DE DROME,31702
2445,PEYROLLES EN PROVENCE,7103
2446,SIGNY LE PETIT,14344
2447,BERAT,14885
2448,VAL DE DROME,31702
2449,ROGNAC,214
2450,SOMMAUTHE,33258
2451,BOISSEDE,30515
2452,SOULANGY,11464
2453,ROGNES,7805
2454,SOMMERANCE,34745
2455,BONREPOS SUR AUSSONNELLE,12196
2456,SUBLES,9876
2457,ROQUEVAIRE,3266
2458,SON,33224
2459,BOULOGNE SUR GESSE,12251
2460,SURRAIN,19752
2461,LE ROVE,361
2462,STONNE,33721
2463,BOUTX,34112
2464,TOUR EN BESSIN,10213
2465,SAINTES MARIES DE LA MER,686
2466,TAILLY,32783
2467,BRETX,17356
2468,TROUVILLE SUR MER,106
2469,ST MARTIN DE CRAU,4538
2470,TOULIGNY,20657
2471,CALMONT,15685
2472,VALSEME,12895
2473,ST SAVOURNIN,7983
2474,TOURNAVAUX,10285
2475,CARAMAN,14980
2476,VARAVILLE,430
2477,SENAS,8641
2478,TREMBLOIS LES CARIGNAN,31115
2479,CASTAGNEDE,23650
2480,VAUCELLES,3343
2481,CARNOUX EN PROVENCE,1431
2482,TREMBLOIS LES ROCROI,28559
2483,CASTELNAU PICAMPEAU,29141
2484,VAUVILLE,6187
2485,MARSEILLE 06,/ 34 837
2486,VANDY,23044
2487,CASTERA VIGNOLES,34232
2488,VAUX SUR SEULLES,8164
2489,MARSEILLE 08,/ 34 837
2490,VERPEL,34534
2491,CAUJAC,21541
2492,VENDEUVRE,21324
2493,MARSEILLE 11,/ 34 837
2494,VIEL ST REMY,31203
2495,CAZARILH LASPENES,32145
2496,VILLY LEZ FALAISE,8200
2497,MARSEILLE 13,/ 34 837
2498,VILLERS DEVANT LE THOUR,30169
2499,EMPEAUX,24148
2500,VIMONT,5134
2501,MARSEILLE 16,/ 34 837
2502,VILLE SUR LUMES,6123
2503,ENCAUSSE LES THERMES,12465
2504,VIRE NORMANDIE,920
2505,VALAMBRAY,20095
2506,VOUZIERS,10470
2507,ESPANES,15400
2508,VIRE NORMANDIE,920
2509,VALAMBRAY,20095
2510,WARCQ,1591
2511,ESPERCE,15661
2512,PONT D OUILLY,21262
2513,VALAMBRAY,20095
2514,ARGEIN,31288
2515,ESTANCARBON,4314
2516,ANGLARDS DE SALERS,28798
2517,AURSEULLES,22536
2518,ARTIGUES,34385
2519,FALGA,28521
2520,ANTERRIEUX,22601
2521,AURSEULLES,22536
2522,ARVIGNA,21909
2523,LE FAUGA,7758
2524,APCHON,30472
2525,AURSEULLES,22536
2526,AUCAZEIN,33833
2527,FORGUES,32405
2528,AURIAC L EGLISE,32591
2529,AURSEULLES,22536
2530,AUZAT,34583
2531,LE FOUSSERET,12229
2532,BARRIAC LES BOSQUETS,19889
2533,ARGENCES,7415
2534,BALACET,34307
2535,FUSTIGNAC,33063
2536,ALBEPIERRE BREDONS,23031
2537,LES AUTHIEUX SUR CALONNE,14610
2538,BALAGUERES,29095
2539,GARDOUCH,9883
2540,CHALIERS,947
2541,MALHERBE SUR AJON,20229
2542,BAULOU,14057
2543,GARGAS,10029
2544,CHAMPS SUR TARENTAINE MARCHAL,14989
2545,MALHERBE SUR AJON,20229
2546,BRASSAC,17016
2547,GENSAC DE BOULOGNE,31874
2548,LA CHAPELLE D ALAGNON,26441
2549,BAVENT,6960
2550,CAMPAGNE SUR ARIZE,27258
2551,GOUDEX,32962
2552,COREN,10468
2553,BENOUVILLE,147
2554,CAYCHAX,30003
2555,GOURDAN POLIGNAN,7708
2556,CROS DE MONTVERT,32416
2557,SOULEUVRE EN BOCAGE,16110
2558,CAZALS DES BAYLES,28793
2559,GRAGNAGUE,4092
2560,DIENNE,24329
2561,SOULEUVRE EN BOCAGE,16110
2562,CERIZOLS,26757
2563,LE GRES,20846
2564,FREIX ANGLARDS,17380
2565,SOULEUVRE EN BOCAGE,16110
2566,DUN,28095
2567,IZAUT DE L HOTEL,19381
2568,LABROUSSE,24983
2569,BERNESQ,20012
2570,ESCLAGNE,13685
2571,JUZET DE LUCHON,31826
2572,LAFEUILLADE EN VEZIE,16699
2573,BERNIERES D AILLY,16860
2574,FABAS,23110
2575,LABARTHE RIVIERE,8884
2576,LANOBRE,812
2577,BLANGY LE CHATEAU,9486
2578,FOUGAX ET BARRINEUF,17765
2579,LABASTIDE BEAUVOIR,12129
2580,LAPEYRUGUE,27078
2581,BLONVILLE SUR MER,282
2582,GALEY,34409
2583,LABASTIDETTE,7768
2584,LAVEISSENET,21732
2585,BONNEMAISON,15257
2586,IGNAUX,30715
2587,LAGARDE,23610
2588,LAVEISSIERE,20139
2589,BONNOEIL,30786
2590,LES ISSARDS,26488
2591,LAMASQUERE,6419
2592,LEYNHAC,24028
2593,BOURGUEBUS,1882
2594,LABATUT,26306
2595,LAPEYROUSE FOSSAT,3857
2596,LEYVAUX,34181
2597,CABOURG,314
2598,LACOURT,16048
2599,LASSERRE PRADERE,12492
2600,VAL D ARCOMIE,974
2601,CAEN,6
2602,LAGARDE,24074
2603,LAUNAC,24872
2604,MAURIAC,3566
2605,CAHAGNES,17178
2606,LARCAT,29462
2607,LAUZERVILLE,2853
2608,MOLEDES,34145
2609,LA CAINE,13627
2610,LARNAT,25835
2611,LESPITEAU,14025
2612,LE MONTEIL,25230
2613,CARCAGNY,10660
2614,LASSERRE,21678
2615,LOUBENS LAURAGAIS,27343
2616,NEUSSARGUES EN PINATELLE,9465
2617,CAUMONT SUR AURE,19964
2618,LOUBAUT,27225
2619,LOURDE,29602
2620,NEUVEGLISE SUR TRUYERE,684
2621,CERNAY,22232
2622,LOUBENS,16034
2623,MALVEZIE,23268
2624,PARLAN,27869
2625,CESNY LES SOURCES,24777
2626,LUZENAC,25302
2627,MARQUEFAVE,15275
2628,PLEAUX,15897
2629,CESNY LES SOURCES,24777
2630,MADIERE,19934
2631,MARSOULAS,18984
2632,PLEAUX,15897
2633,CLARBEC,11821
2634,MALEGOUDE,31533
2635,MARTISSERRE,29614
2636,PLEAUX,15897
2637,CONDE EN NORMANDIE,5051
2638,MERAS,26600
2639,MASSABRAC,27549
2640,PRUNET,21040
2641,COSSESSEVILLE,27608
2642,MIGLOS,32657
2643,MAUREMONT,19228
2644,RAULHAC,10974
2645,CRESSEVEUILLE,11912
2646,MONESPLE,28782
2647,MAURESSAC,23042
2648,ROFFIAC,11610
2649,CREULLY SUR SEULLES,4363
2650,MONTFA,29965
2651,MELLES,34817
2652,ROUMEGOUX,26341
2653,CRICQUEBOEUF,383
2654,MONTGAILLARD,3985
2655,MILHAS,27625
2656,SAIGNES,8765
2657,CRICQUEVILLE EN AUGE,14826
2658,MONTSEGUR,28201
2659,MIREPOIX SUR TARN,16362
2660,ST BONNET DE CONDAT,32964
2661,CRICQUEVILLE EN BESSIN,989
2662,MOULIN NEUF,27583
2663,MONDOUZIL,6641
2664,ST CIRGUES DE MALBERT,28264
2665,CRISTOT,8831
2666,PAMIERS,1203
2667,MONESTROL,28379
2668,ST CLEMENT,14158
2669,CROISILLES,19450
2670,PECH,30880
2671,MONTASTRUC LA CONSEILLERE,4388
2672,ST ETIENNE CANTALES,16766
2673,DAMBLAINVILLE,14998
2674,PEREILLE,9305
2675,MONTAUBAN DE LUCHON,31617
2676,ST ETIENNE DE CHOMEIL,28018
2677,DANESTAL,19170
2678,LE PUCH,34203
2679,MONTAUT,12395
2680,STE MARIE,1025
2681,LE DETROIT,26301
2682,RABAT LES TROIS SEIGNEURS,27270
2683,MONTBERNARD,33767
2684,ST PAUL DES LANDES,8066
2685,DUCY STE MARGUERITE,13432
2686,RIVERENERT,29937
2687,MONT DE GALIE,30131
2688,ST VINCENT DE SALERS,33297
2689,ENGLESQUEVILLE LA PERCEE,1021
2690,SABARAT,26603
2691,MONTEGUT BOURJAC,31948
2692,SANSAC VEINAZES,28607
2693,EPANEY,17372
2694,ST BAUZEIL,12787
2695,MONTESQUIEU GUITTAUT,32670
2696,SAUVAT,16264
2697,EPRON,860
2698,ST JEAN DU FALGA,3733
2699,MONTLAUR,7145
2700,SENEZERGUES,31719
2701,ESTREES LA CAMPAGNE,18735
2702,ST LARY,34607
2703,MONTSAUNES,17190
2704,TEISSIERES DE CORNET,6064
2705,ETREHAM,5975
2706,SAUTEL,9180
2707,NENIGAN,31746
2708,THIEZAC,24120
2709,FIERVILLE LES PARCS,14231
2710,SAVERDUN,7024
2711,NOE,9898
2712,VALETTE,28566
2713,FORMENTIN,9473
2714,SAVIGNAC LES ORMEAUX,17265
2715,ODARS,9663
2716,VERNOLS,32208
2717,FOURCHES,17685
2718,SORGEAT,30631
2719,PAYSSOUS,13873
2720,VEZELS ROUSSY,32681
2721,FRENOUVILLE,4275
2722,SUZAN,25979
2723,PECHBONNIEU,3152
2724,BESSE,28452
2725,GAVRUS,5292
2726,TAURIGNAN CASTET,23691
2727,PIBRAC,1374
2728,AGRIS,23668
2729,GEFOSSE FONTENAY,882
2730,TOURTROL,27007
2731,PIN BALMA,2662
2732,AMBERAC,29912
2733,GERROTS,29527
2734,VALS,25096
2735,LE PIN MURELET,32652
2736,ANGEAC CHARENTE,16296
2737,GIBERVILLE,1108
2738,LE VERNET,13757
2739,PINSAGUEL,2657
2740,ANGOULEME,211
2741,GLOS,3234
2742,VILLENEUVE DU LATOU,24979
2743,POUZE,14020
2744,ANSAC SUR VIENNE,12723
2745,GONNEVILLE EN AUGE,12189
2746,AMANCE,884
2747,PUYMAURIN,33128
2748,AUBETERRE SUR DRONNE,20409
2749,GOUVIX,13540
2750,ASSENAY,18118
2751,RENNEVILLE,14853
2752,AUNAC SUR CHARENTE,24893
2753,GRENTHEVILLE,2209
2754,AUBETERRE,25180
2755,REVEL,2726
2756,BAIGNES STE RADEGONDE,16854
2757,GUERON,3362
2758,BAGNEUX LA FOSSE,33888
2759,RIOLAS,32939
2760,BARBEZIEUX ST HILAIRE,4423
2761,HERMIVAL LES VAUX,3123
2762,BAR SUR SEINE,5581
2763,ROQUEFORT SUR GARONNE,20415
2764,BARRO,16052
2765,HONFLEUR,81
2766,BERCENAY LE HAYER,33370
2767,ST ARAILLE,32690
2768,BERNAC,13147
2769,HOTOT EN AUGE,27992
2770,BERGERES,26076
2771,ST ELIX SEGLAN,19824
2772,COTEAUX DU BLANZACAIS,21542
2773,HOULGATE,304
2774,BLAINCOURT SUR AUBE,28016
2775,STE FOY DE PEYROLIERES,15579
2776,BOISBRETEAU,31588
2777,IFS,566
2778,BLIGNY,34029
2779,ST IGNAN,14186
2780,BONNEUIL,20591
2781,JORT,21672
2782,BOUILLY,13870
2783,ST JEAN,756
2784,BOUEX,11692
2785,JUAYE MONDAYE,10319
2786,BRAGELOGNE BEAUVOIR,34298
2787,STE LIVRADE,17354
2788,BRETTES,24394
2789,DIALAN SUR CHAINE,30689
2790,BREVONNES,904
2791,ST LOUP CAMMAS,3224
2792,BRIGUEUIL,9012
2793,LANDES SUR AJON,20526
2794,BRIEL SUR BARSE,23462
2795,ST MARTORY,11215
2796,CHALLIGNAC,26190
2797,PONTS SUR SEULLES,7882
2798,BUXEUIL,29062
2799,ST PE D ARDET,29756
2800,CHANTILLAC,26386
2801,LINGEVRES,16565
2802,CHALETTE SUR VOIRE,34240
2803,ST PE DELBOSC,22442
2804,BOISNE LA TUDE,29433
2805,LE MOLAY LITTRY,7066
2806,CRANCEY,15041
2807,ST SULPICE SUR LEZE,10453
2808,BOISNE LA TUDE,29433
2809,LIVAROT PAYS D AUGE,8539
2810,CRENEY PRES TROYES,2505
2811,SALEICH,24853
2812,CHASSENEUIL SUR BONNIEURE,14626
2813,LIVAROT PAYS D AUGE,8539
2814,LES CROUTES,27529
2815,SALERM,32947
2816,CHASSORS,10638
2817,LIVAROT PAYS D AUGE,8539
2818,DOLANCOURT,21501
2819,SAVARTHES,15193
2820,CHATEAUBERNARD,2045
2821,LIVAROT PAYS D AUGE,8539
2822,DOSCHES,811
2823,SEILH,2457
2824,CHERVES RICHEMONT,12152
2825,LIVAROT PAYS D AUGE,8539
2826,EPOTHEMONT,32893
2827,SEPX,18896
2828,CLAIX,11225
2829,LIVAROT PAYS D AUGE,8539
2830,ESSOYES,26937
2831,SIGNAC,32763
2832,CONDAC,15985
2833,LOUVIGNY,539
2834,ESTISSAC,16233
2835,TOULOUSE,29
2836,CONFOLENS,5505
2837,LUC SUR MER,256
2838,FEUGES,24195
2839,TOURNEFEUILLE,817
2840,COURCOME,22837
2841,MAGNY EN BESSIN,4102
2842,GERAUDOT,844
2843,TREBONS SUR LA GRASSE,12536
2844,ECURAS,32766
2845,MAISONCELLES PELVEY,16310
2846,HAMPIGNY,32326
2847,VAUDREUILLE,10058
2848,EYMOUTHIERS,25255
2849,MAISONCELLES SUR AJON,13020
2850,JONCREUIL,31257
2851,VENERQUE,7291
2852,LA FAYE,13348
2853,MAISONS,6028
2854,JUVANZE,29043
2855,VILLEFRANCHE DE LAURAGAIS,3507
2856,FONTCLAIREAU,24008
2857,MAIZET,8377
2858,LASSICOURT,33109
2859,LARRA,16948
2860,FOUSSIGNAC,14497
2861,MOULINS EN BESSIN,10912
2862,LHUITRE,34360
2863,ANSAN,20413
2864,GARAT,4270
2865,MERVILLE FRANCEVILLE PLAGE,377
2866,LIREY,25235
2867,AVENSAC,33306
2868,GUIMPS,26365
2869,LE MESNIL EUDES,10178
2870,LA LOGE AUX CHEVRES,19303
2871,AVERON BERGELLE,30124
2872,HIERSAC,7338
2873,MEZIDON VALLEE D AUGE,4377
2874,LONGUEVILLE SUR AUBE,21525
2875,BEAUMARCHES,28400
2876,HIESSE,27973
2877,MEZIDON VALLEE D AUGE,4377
2878,MAISON DES CHAMPS,30461
2879,BERNEDE,11729
2880,L ISLE D ESPAGNAC,1349
2881,MEZIDON VALLEE D AUGE,4377
2882,MAISONS LES SOULAINES,25803
2883,BETCAVE AGUIN,31901
2884,JARNAC,4297
2885,MEZIDON VALLEE D AUGE,4377
2886,MAIZIERES LES BRIENNE,32773
2887,BETOUS,30115
2888,VAL DES VIGNES,29137
2889,LES MONCEAUX,12960
2890,MERY SUR SEINE,14804
2891,BOUCAGNERES,27846
2892,VAL DES VIGNES,29137
2893,MONFREVILLE,19006
2894,MESNIL ST LOUP,29075
2895,BOUZON GELLENAVE,23043
2896,LADIVILLE,26542
2897,MONTREUIL EN AUGE,22783
2898,METZ ROBERT,26489
2899,BRUGNENS,21917
2900,LAPRADE,28853
2901,MONTS EN BESSIN,18995
2902,MONTMARTIN LE HAUT,30502
2903,CADEILLAN,26659
2904,LESSAC,27415
2905,NOROLLES,9824
2906,MONTMORENCY BEAUFORT,33175
2907,CASTERA VERDUZAN,13092
2908,LICHERES,23993
2909,VAL D ARRY,11662
2910,MONTSUZAIN,24834
2911,CASTET ARROUY,22828
2912,LONNES,29891
2913,ORBEC,14242
2914,MUSSY SUR SEINE,24855
2915,CASTEX D ARMAGNAC,32476
2916,TERRES DE HAUTE CHARENTE,13587
2917,OUILLY DU HOULEY,10144
2918,NOZAY,31490
2919,CASTILLON MASSAS,11049
2920,MAINE DE BOIXE,18045
2921,OUISTREHAM,121
2922,ORTILLON,33722
2923,CAZAUX D ANGLES,33928
2924,BELLEVIGNE,23113
2925,PETIVILLE,11536
2926,OSSEY LES TROIS MAISONS,12107
2927,CORNEILLAN,22610
2928,MARCILLAC LANVILLE,21770
2929,PIERREFITTE EN AUGE,8264
2930,PAISY COSDON,28509
2931,CRAVENCERES,18540
2932,MAREUIL,26584
2933,LE PIN,16437
2934,LE PAVILLON STE JULIE,27290
2935,ENDOUFIELLE,21693
2936,MARILLAC LE FRANC,26909
2937,PLUMETOT,4274
2938,PAYNS,12523
2939,FAGET ABBATIAL,31506
2940,MARSAC,16605
2941,LE PRE D AUGE,11782
2942,PEL ET DER,29669
2943,FREGOUVILLE,25352
2944,MERPINS,5409
2945,BELLE VIE EN AUGE,16073
2946,PETIT MESNIL,28874
2947,GAUDONVILLE,30842
2948,MONTMOREAU,12882
2949,CASTINE EN PLAINE,2359
2950,PLANCY L ABBAYE,33508
2951,GAZAUPOUY,18820
2952,MORNAC,6666
2953,CASTINE EN PLAINE,2359
2954,PLESSIS BARBUISE,25062
2955,GONDRIN,22240
2956,MOSNAC ST SIMEUX,9798
2957,ROCQUES,3863
2958,POLISY,29458
2959,IZOTGES,24324
2960,MOUZON,32061
2961,RUMESNIL,22576
2962,POUAN LES VALLEES,30646
2963,JUILLAC,20514
2964,NANCLARS,28684
2965,LE CASTELET,5953
2966,PREMIERFAIT,31166
2967,JUILLES,17440
2968,NANTEUIL EN VALLEE,27796
2969,ST ANDRE D HEBERTOT,18007
2970,PRUGNY,14200
2971,LABARTHETE,26300
2972,ORGEDEUIL,27057
2973,ST AUBIN SUR MER,340
2974,ROSIERES PRES TROYES,813
2975,LAGARDERE,21509
2976,ORIVAL,17091
2977,STE CROIX SUR MER,6740
2978,ST BENOIST SUR VANNE,29026
2979,LAHAS,25196
2980,PILLAC,31463
2981,VALORBIQUET,16748
2982,ST ETIENNE SOUS BARBUISE,25564
2983,LANNE SOUBIRAN,30969
2984,POULLIGNAC,31539
2985,VAL DE VIE,22750
2986,ST HILAIRE SOUS ROMILLY,15364
2987,LAREE,23834
2988,RIVIERES,14776
2989,SEULLINE,26312
2990,ST LUPIEN,26975
2991,LARROQUE ST SERNIN,22170
2992,LA ROCHEFOUCAULD EN ANGOUMOIS,6792
2993,ST GERMAIN LA BLANCHE HERBE,943
2994,ST LYE,3217
2995,LARTIGUE,28797
2996,ROUFFIAC,17432
2997,AURE SUR MER,738
2998,ST PHAL,30713
2999,LASSEUBE PROPRE,9562
3000,ROUGNAC,31680
3001,ST LAMBERT,21762
3002,ST POUANGE,5244
3003,LAVERAET,24514
3004,ROULLET ST ESTEPHE,7317
3005,ST LOUET SUR SEULLES,16083
3006,ST USAGE,34425
3007,LOUBERSAN,16812
3008,ST ADJUTORY,28827
3009,ST MANVIEU NORREY,2159
3010,SOLIGNY LES ETANGS,30392
3011,MANSEMPUY,20222
3012,ST AULAIS LA CHAPELLE,28895
3013,ST MARTIN AUX CHARTRAINS,4947
3014,THIEFFRAIN,27966
3015,MARAVAT,24350
3016,ST COUTANT,32215
3017,ST MARTIN DE BIENFAITE LA CRESSONNIERE,19226
3018,TROUANS,34370
3019,MASCARAS,31106
3020,ST LAURENT DE CERIS,26159
3021,ST MARTIN DE BLAGNY,17318
3022,VALLANT ST GEORGES,27528
3023,MAUROUX,29519
3024,ST MAURICE DES LIONS,26211
3025,ST OMER,22296
3026,VAUDES,22779
3027,MAUVEZIN,7724
3028,VAL D AUGE,26139
3029,ST OUEN LE PIN,8342
3030,VERRIERES,3166
3031,MEILHAN,31856
3032,ST MICHEL,1693
3033,ST PAIR,8478
3034,VILLECHETIF,3677
3035,MERENS,25776
3036,ST ROMAIN,24594
3037,ST PAUL DU VERNAY,11628
3038,VILLETTE SUR AUBE,24911
3039,MIELAN,17261
3040,ST SATURNIN,6151
3041,ST PHILBERT DES CHAMPS,7828
3042,VILLIERS SOUS PRASLIN,32256
3043,MIRADOUX,27291
3044,SAUVIGNAC,28629
3045,ST PIERRE CANIVET,8326
3046,VILLY LE MARECHAL,17152
3047,MIRANNES,32323
3048,SOUFFRIGNAC,32651
3049,ST PIERRE DU FRESNE,29031
3050,ARGELIERS,15363
3051,MONBLANC,23803
3052,THEIL RABIER,30989
3053,ST PIERRE EN AUGE,4344
3054,ARQUETTES EN VAL,28788
3055,MONFERRAN PLAVES,30822
3056,VARS,13327
3057,ST PIERRE EN AUGE,4344
3058,AUNAT,34254
3059,MONLAUR BERNET,33369
3060,VERDILLE,29884
3061,ST PIERRE EN AUGE,4344
3062,BELCAIRE,23472
3063,MONT D ASTARAC,31313
3064,VERNEUIL,28601
3065,ST PIERRE EN AUGE,4344
3066,BELFLOU,25865
3067,MONT DE MARRAST,30401
3068,VERRIERES,27135
3069,ST PIERRE EN AUGE,4344
3070,BELFORT SUR REBENTY,31936
3071,MONTEGUT SAVES,29805
3072,VERTEUIL SUR CHARENTE,21126
3073,ST PIERRE EN AUGE,4344
3074,BELLEGARDE DU RAZES,29656
3075,MOUCHES,13413
3076,LE VIEUX CERIER,30459
3077,ST REMY,14337
3078,BELVIS,27494
3079,NOUGAROULET,22973
3080,MOULINS SUR TARDOIRE,27333
3081,ST SAMSON,18651
3082,BERRIAC,5065
3083,PAVIE,5343
3084,VILLEBOIS LAVALETTE,19689
3085,NOUES DE SIENNE,10072
3086,BIZANET,19725
3087,PEBEES,26524
3088,VOUTHON,25343
3089,NOUES DE SIENNE,10072
3090,BOUILHONNAC,6346
3091,PELLEFIGUE,28525
3092,VOUZAN,27189
3093,ST VAAST EN AUGE,10024
3094,LE BOUSQUET,34703
3095,PESSOULENS,33697
3096,ALLAS CHAMPAGNE,22451
3097,ST VAAST SUR SEULLES,16879
3098,CAILHAVEL,23508
3099,PEYRUSSE MASSAS,12622
3100,ARDILLIERES,13440
3101,SALLEN,24099
3102,CAMPLONG D AUDE,22859
3103,PIS,24077
3104,ASNIERES LA GIRAUD,11498
3105,SAON,12270
3106,CARCASSONNE,88
3107,POMPIAC,24561
3108,AULNAY,12130
3109,LE THEIL EN AUGE,10314
3110,CASCASTEL DES CORBIERES,33690
3111,POUYLEBON,24517
3112,AUMAGNE,26864
3113,LE HOM,7656
3114,CASTANS,18843
3115,ROQUEPINE,28466
3116,AUTHON EBEON,25138
3117,TOURNIERES,18745
3118,CASTELNAU D AUDE,14881
3119,STE CHRISTIE,16893
3120,AVY,16973
3121,TREVIERES,9697
3122,CAUDEBRONDE,24347
3123,ST CRICQ,17676
3124,BERNEUIL,19103
3125,TROARN,/ 34 837
3126,VAL DE LAMBRONNE,33007
3127,ST ELIX THEUX,32021
3128,BIGNAY,18063
3129,MONTILLIERES SUR ORNE,15548
3130,CAUNETTES EN VAL,31772
3131,ST GERMIER,22042
3132,BLANZAY SUR BOUTONNE,25728
3133,VACOGNES NEUILLY,11927
3134,CAZALRENOUX,30904
3135,ST JEAN LE COMTAL,26781
3136,BORESSE ET MARTRON,30021
3137,VALDALLIERE,10189
3138,LE CLAT,34180
3139,ST JUSTIN,17535
3140,BOSCAMNANT,18977
3141,VALDALLIERE,10189
3142,COMUS,29207
3143,ST LIZIER DU PLANTE,30686
3144,BOURCEFRANC LE CHAPUS,429
3145,VALDALLIERE,10189
3146,CONILHAC CORBIERES,8383
3147,ST MICHEL,27359
3148,BRESDON,27867
3149,VAUX SUR AURE,4417
3150,CONQUES SUR ORBIEL,3430
3151,ST ORENS POUY PETIT,25182
3152,BREUIL MAGNE,5137
3153,VENDES,14462
3154,COUFFOULENS,7080
3155,ST PAUL DE BAISE,29319
3156,CHAMOUILLAC,27904
3157,VENDEUVRE,21324
3158,COUIZA,5491
3159,ST PIERRE D AUBEZIES,32963
3160,CHAMPAGNOLLES,29272
3161,LA VESPIERE FRIARDEL,22611
3162,CUBIERES SUR CINOBLE,32308
3163,SARCOS,28540
3164,LE CHATEAU D OLERON,337
3165,VIERVILLE SUR MER,952
3166,DONAZAC,31844
3167,SARRAGACHIES,29975
3168,LE CHATEAU D OLERON,337
3169,VIEUX,3033
3170,EMBRES ET CASTELMAURE,33561
3171,SARRANT,21165
3172,LE CHATEAU D OLERON,337
3173,VIEUX BOURG,19018
3174,ESCUEILLENS ET ST JUST DE BELENGARD,32173
3175,SAUVETERRE,21424
3176,CHATELAILLON PLAGE,145
3177,VIGNATS,21106
3178,FANJEAUX,24410
3179,SAUVIAC,33868
3180,CHATENET,27941
3181,VIRE NORMANDIE,920
3182,FELINES TERMENES,34290
3183,SAVIGNAC MONA,26323
3184,CHERBONNIERES,28668
3185,VIRE NORMANDIE,920
3186,FEUILLA,33041
3187,SEGOUFIELLE,7783
3188,CLAM,19197
3189,VIRE NORMANDIE,920
3190,FITOU,757
3191,SEMPESSERRE,14347
3192,CLAVETTE,3529
3193,ALLY,17029
3194,FONTANES DE SAULT,33936
3195,SERE,32016
3196,COURANT,23819
3197,ALLY,17029
3198,FRAISSE DES CORBIERES,32372
3199,SORBETS,28519
3200,COURCELLES,8440
3201,ANDELAT,4056
3202,GENERVILLE,30805
3203,THOUX,19843
3204,COURCERAC,20835
3205,ARCHES,26732
3206,GRUISSAN,238
3207,TOURNECOUPE,30417
3208,COURCON,13850
3209,ARNAC,32343
3210,HOMPS,11095
3211,URGOSSE,20885
3212,CRAZANNES,10796
3213,BONNAC,32892
3214,LAGRASSE,23606
3215,AMBARES ET LAGRAVE,1235
3216,DOEUIL SUR LE MIGNON,32686
3217,CELOUX,33659
3218,LAIRIERE,34109
3219,ARSAC,4666
3220,DOMPIERRE SUR MER,1214
3221,CHANTERELLE,26883
3222,LASTOURS,16720
3223,AUDENGE,593
3224,DOMPIERRE SUR MER,1214
3225,CHAUSSENAC,23509
3226,LEUCATE,585
3227,LE BARP,19982
3228,ECHILLAIS,143
3229,ESCORAILLES,22398
